,title,level,Prerequisites,Duration,Languages,Course Details,days details
39,Power Electronics Control Design with Simulink and Simscape,"Level: 
Intermediate","['MATLAB Fundamentals', 'Simulink Fundamentals', 'Modeling Physical Systems with Simscape']","Duration: 
1 day","Languages: 
English, 日本語, 한국어, 中文","
This course focuses on modeling and controlling power electronic systems in the Simulink® environment using Simscape Electrical™.
Topics include:

Modeling direct current (dc) power electronic components
Controlling the level of fidelity in a model
Developing controls for power electronics
Modeling three-phase alternating current (ac) power electronic components
Controlling power electronics for motor drive applications




","
Day 1 of 1






DC Power Electronic Systems



Objective: Learn to model and analyze direct current (dc) power electronic systems.

Modeling a boost converter
Measuring physical quantities
Visualizing results
Selecting a solver




Converter Model Fidelity



Objective: Learn to build power electronic models using the most appropriate level of fidelity.

Selecting appropriate converter model fidelity
Using prebuilt components
Logging and comparing signals
Measuring efficiency and losses




Linearization and Control



Objective: Learn to linearize power electronic switching models and tune closed-loop control systems.

Implementing closed-loop voltage control
Linearizing power electronic converters
Tuning the controller




Three-Phase Power Electronic Systems



Objective: Learn to model and analyze three-phase ac power electronic systems.

Modeling a three-phase inverter
Measuring three-phase physical quantities
Characterizing harmonics and distortion




Motor Control



Objective: Learn to model and control electric motors using power electronics.

Modeling a PMSM motor
Implementing motor control
Verifying the motor design
Integrating into a system-level model



"
40,Simulink for Analog Mixed-Signal Design,"Level: 
Intermediate",['MATLAB Fundamentals and basic knowledge of digital signal processing and mixed signal design'],"Duration: 
2 days","Languages: 
English","
This two-day course, targeted toward new users of Simulink, uses basic modeling techniques and tools to demonstrate how to develop Simulink block diagrams for mixed signal applications.



Topics include:

Using the Simulink interface
Modeling discrete dynamic systems
Modeling mixed-signal (hybrid) systems
Developing custom blocks and libraries
Modeling condition-based systems
Performing measurements using built in blocks
Using test benches to test mixed signal systems
Using control design techniques for bode plot analysis and linearization
Automating Simulink tasks




","
Day 1 of 2






Creating and Simulating a Model



Objective: Explore the Simulink interface and block libraries. Build a simple model and analyze the simulation results.

Creating and editing a Simulink model
Defining system inputs and outputs
Simulating models and analyzing results




Modeling Discrete Dynamic Systems



Objective: Model discrete dynamic systems and visualize frame-based signals using a scope.

Modeling a discrete system with basic blocks
Finding sample times of block outputs
Using frames in your model
Using buffers
Viewing frame-based signals
Behavior of delay blocks with frame-based signals
Using the discrete filter block
Designing analog and decimation/interpolation filters




Modeling Logical Constructs



Objective: Model logical expressions. See how zero-crossing detection is used in Simulink and model simple logic in Simulink using MATLAB code.

Modeling logical expressions
Modeling conditional signal routing
Understanding zero-crossing detection
Modeling with the MATLAB Function block




Mixed-Signal Models



Objective: Model mixed-signal systems.

What is a mixed-signal model?
Modeling an ADC with aperture jitter and nonlinearity
Case study: Modeling TI's ADS62P29 ADC
Modeling a PLL with phase noise and other impairments
Using blocks from the Mixed-Signal Blockset




Day 2 of 2






Simulink Solvers



Objective: Choose the right solver for a Simulink model.

Understanding the Simulink solver
Solving simple models
Solving models with discrete and continuous states
Solving models with multiple rates
Fixed-step and variable-step solvers
Choosing a continuous-state system solver
Handling zero crossings
Handling algebraic loops
Case study: Solver profiler for PLL simulation




Subsystems and Libraries



Objective: Create custom blocks in Simulink, apply masks, and develop custom libraries.

Creating subsystems
Understanding virtual and atomic subsystems
Modeling condition-driven systems with enabled subsystems
Modeling condition-driven systems with triggered subsystems
Using a subsystem as a model component
Masking subsystems
Creating custom block libraries
Working with and modifying library blocks
Adding custom libraries to the Simulink Library Browser
Creating configurable subsystems




Testbenches and Measurements



Objective: Perform spectral analysis in Simulink, use testbenches from the Mixed-Signal Blockset to evaluate performance.

Performing spectral analysis with the Spectrum Scope block
Choosing spectral analysis parameters
Using the logic analyzer
Measuring Phase Noise, INL, DNL, Jitter
Using testbenches from the Mixed Signal Blockset




Control Design Analysis



Objective: Create Bode plots, perform linearization, use the Control System Designer app, control and run Simulink models from the MATLAB command line.

Creating and analyzing bode plots
Performing Linearization
Using the Control System Designer
Automating test runs
Checking and modifying parameter settings
Finding blocks with specific parameter values
Constructing and modifying block diagrams



"
41,System Composer for Architecture Modeling,"Level: 
Intermediate","['Simulink Fundamentals', 'Basic knowledge of Systems Engineering concepts is recommended']","Duration: 
1 day","Languages: 
Deutsch, English, Français, 日本語","
This one-day course focuses on developing and analyzing model-based architectures with System Composer™ and Requirements Toolbox™.



Topics include:

Identifying the role of architectural modeling in Model-Based Design
Creating functional, logical, and physical architectures
Associating and tracking non-functional properties in architecture elements
Analyzing architecture models for early requirement validation
Generating architecture visualizations




","
Day 1 of 1






Introduction to Model-Based Design



Objective: Introduce the concept of Model-Based Design and outline the advantages of System Composer.

Advantages of System Composer
Model-Based Design Process
Subsystem Implementation
Testing, Verification and Validation
Course Example Walkthrough




Working with Requirements



Objective: Articulate general attributes of requirements and capture requirements with Requirements Toolbox.

Identifying and writing high-level requirements
Writing requirements
Creating requirement sets
Importing requirements




Logical System Architectures



Objective: Introduce the three main types of system architectures and build logical architectures.

Distinguishing between functional, logical and physical architectures
Creating logical architectures
Creating interfaces in System Composer
Linking Simulink models




Physical System Architectures



Objective: Discuss how to create variant and reference components, and how to use physical ports.

Creating physical ports in physical architectures
Adding reference architectures
Adding variant components




Capturing and Analyzing System Properties



Objective: Capture system properties for individual elements with stereotypes and leverage MATLAB® to analyze and aggregate these properties.

Introducing profiles and stereotypes
Creating and customizing stereotypes for elements
Creating stereotype properties
Analyzing system properties with MATLAB




Enhancing Architecture Traceability



Objective: Generate views, diagrams, allocations, and tracking requirements to enhance the digital thread of the project.

Generating hierarchical diagrams of architecture models
Highlighting specific paths, domains, and areas of responsibility in architecture models
Using sequence diagrams
Allocating between functional, logical, and physical architectures
Tracking requirement traceability



"
42,Code Generation for Classic AUTOSAR Software Components,"Level: 
Intermediate","['Simulink Fundamentals (or Simulink Fundamentals for Automotive Applications or Simulink Fundamentals for Aerospace Applications)', 'Embedded Coder for Production Code Generation', 'Knowledge of C programming language and the AUTOSAR standard']","Duration: 
2 days","Languages: 
Deutsch, English, 日本語, 中文","
This two-day course discusses Classic AUTOSAR-compliant modeling and code generation using AUTOSAR Blockset. Workflows for top-down and bottom-up software development approaches are discussed in the context of Model-Based Design. This course is intended for automotive industry software developers and systems engineers who use Embedded Coder for automatic C/C++ code generation. 
Topics include:

Generating Simulink models from existing ARXML system descriptions
Configuring Simulink models for AUTOSAR compliant code generation
Configuring AUTOSAR communication elements in a Simulink model
Modeling AUTOSAR events in Simulink
Creating calibration parameters
Modeling AUTOSAR variation points within software components
Importing and exporting AUTOSAR compositions and software architectures
Modeling calls to basic software services




","
Day 1 of 2






Importing AUTOSAR Software Components



Objective: Import existing ARXML files to automatically generate Simulink models with correct architecture and interfaces.

AUTOSAR XML (ARXML) description
Importing AUTOSAR software components
Array and enumeration data types
Adding functionality to generated Simulink models
Simulating with a harness model
AUTOSAR code generation
Structure and fixed-point data types
Managing imported data types in Simulink
Importing modified ARXML files




Exporting AUTOSAR Software Components



Objective: Configure Simulink models as AUTOSAR software components and define AUTOSAR ports and interfaces for ARXML generation.

Creating AUTOSAR Components
Mapping Simulink model objects to AUTOSAR software components
Generating code and exporting ARXML files




Modeling AUTOSAR Ports and Interfaces



Objective: Configure Simulink Inport and Outport blocks as various types AUTOSAR ports.

AUTOSAR Communication overview (ports and interfaces)
Modeling sender-receiver communication
Modeling AUTOSAR modes
Modeling client-server communication




Modeling AUTOSAR Events



Objective: Model periodic and non-periodic AUTOSAR events in Simulink models.

AUTOSAR events overview
Simulating events in Simulink models
Timing (periodic) events
Nonperiodic events overview
Modeling data received events
Modeling mode switch events
Triggering initialization
Simulating nonperiodic events




Modeling Calibration Parameters and Per-Instance Memory



Objective: Specify AUTOSAR calibration parameters and per-instance memory in a Simulink model using data objects and code mappings.

Modeling calibration parameters provided by parameter SWCs
Modeling internal calibration parameters: shared by all instances
Modeling internal calibration parameters: separate copy for each instance
Modeling per-instance memory




Day 2 of 2






Modeling AUTOSAR Variants



Objective: Configure a variant-based design within an AUTOSAR software component, and map Simulink variants to AUTOSAR variation points.

Creating variant subsystems in rate-based models
Generating AUTOSAR variants




Modeling AUTOSAR Compositions and Software Architecture



Objective: Create an AUTOSAR software architecture design, and populate it with working AUTOSAR software components and compositions.

Creating AUTOSAR software architectures and compositions
Generating AUTOSAR software components
Exporting AUTOSAR compositions and software components
Simulating AUTOSAR software architecture models
Importing AUTOSAR compositions
Generating code for reusable software components




Modeling Basic Software Services



Objective: Configure AUTOSAR software components to read and write diagnostic statuses and manage non-volatile RAMs.

Basic software services overview
Setting diagnostic statuses
Monitoring diagnostic statuses
Reading and writing NVRAM
Monitoring NVRAM



"
43,Designing 3D Scenes with RoadRunner,"Level: 
Intermediate",['Experience with basic computer operations'],"Duration: 
1 day",,"
This one-day course provides hands-on experience with designing 3D scenes for simulating and testing automated driving systems. You'll learn ways to create road networks and insert customized markings, signs and signals, as well as vegetation, buildings, and other 3D models. You will apply these techniques to reconstruct a real-world scene based on map data and export the scene into common formats used by automated driving simulators.



Topics include:

Navigating and examining RoadRunner scenes using camera controls
Creating and customizing roads, lanes, and junctions
Defining surfaces and adding elements of the scene, such as road signs, trees, and buildings
Reconstructing geo-specific scenes based on geographic information system (GIS) assets, such as aerial images, lidar point clouds, and elevation data
Importing and exporting scenes in the OpenDRIVE® format




","
Day 1 of 1






Working with the User Interface



Objective: Navigate the RoadRunner interface and maneuver inside a scene.

Navigating the RoadRunner interface and layout
Maneuvering inside a RoadRunner scene using camera controls
Selecting and moving objects in a scene
Measuring distance between scene elements




Roads



Objective: Create, connect, and customize road segments and road networks.

Creating, chopping, and joining road segments
Modifying road shape and vertical and cross-section profile
Changing road superelevation and speed limits
Creating on-ramps, off-ramps, and road splits




Lanes



Objective: Create and modify lanes, lane markings, and other road stencil markings.

Adding driving lanes, curbs, sidewalks, and parking spaces
Customizing lane properties, such as width and travel direction
Adding, editing, and customizing lane markings
Saving road styles with customized lanes for reuse




Junctions



Objective: Connect roads through junctions, add traffic lights, and define allowed vehicle maneuvers.

Creating and customizing junctions
Defining a set of maneuvers in a junction, such as permitted turns
Signalizing a junction by inserting traffic lights
Adding crosswalks for pedestrians




Terrains and Props



Objective: Add surfaces and 3D props, such as trees and buildings.

Creating a surface of a specific material, such as grass, asphalt, or sand
Adding props such as traffic signs, buildings, and trees
Adding groups of props along a road or within a surface, such as a group of trees
Customizing text and symbols on traffic signs
Importing custom props made in other object-modeling tools




Geo-Specific Scene Design



Objective: Construct a scene that accurately represents a real-world location by using GIS assets.

Importing aerial imagery as a reference for creating roads and surfaces
Incorporating elevation data to add height information
Working with point cloud data
Using vector data, such as OpenStreetMap®




Working with OpenDRIVE Data



Objective: Create a scene from imported OpenDRIVE data.

Exporting the scene to OpenDRIVE file format
Importing OpenDRIVE data
Mapping OpenDRIVE data to RoadRunner assets
Exporting to other file formats, such as .fbx, for use with external simulators



"
44,Embedded Coder for Production Code Generation,"Level: 
Intermediate","['Simulink Fundamentals (or Simulink Fundamentals for Automotive Applications or Simulink Fundamentals for Aerospace Applications)', 'Knowledge of C programming language']","Duration: 
2 days","Languages: 
Deutsch, English, Français, Italiano, 日本語, 한국어, 中文","
This hands-on, two-day course focuses on developing models in the Simulink® environment to deploy on embedded systems. The course is designed for Simulink users who intend to generate, validate, and customize embedded code using Embedded Coder®.
Topics include:

Generated code structure and execution
Code generation options and optimizations
Integrating generated code with external code
Generating code for multirate systems
Customizing generated code
Customizing data




","
Day 1 of 2






Generating Embedded Code



Objective: Configure Simulink models for embedded code generation and effectively interpret the generated code.

Architecture of an embedded application
System specification
Generating code
Code modules
Logging intermediate signals
Data structures in generated code
Verifying generated code
Embedded Coder® build process




Optimizing Generated Code



Objective: Identify the requirements of the application at hand and configure optimization settings to satisfy these requirements.

Optimization considerations
Removing unnecessary code
Removing unnecessary data support
Optimizing data storage
Profiling generated code
Code generation objectives




Integrating Generated Code with External Code



Objective: Modify models and files to run generated code and external code together.

External code integration overview
Model entry points
Creating an execution harness
Controlling code destination
Packaging generated code




Controlling Function Prototypes



Objective: Customize function prototypes of model entry points in the generated code.

Default model function prototype
Modifying function prototypes
Generated code with modified function prototypes
Model function prototype considerations
Reusable function interface
Function defaults




Customizing Data Characteristics in Simulink®



Objective: Control the data types and storage classes of data in Simulink.

Data characteristics
Data type classification
Simulink data type configuration
Setting signal storage classes
Setting state storage classes
Impact of storage classes on symbols




Day 2 of 2






Customizing Data Characteristics Using Data Objects



Objective: Control the data types and storage classes of data using data objects.

Simulink® data objects overview
Controlling data types with data objects
Creating reconfigurable data types
Controlling storage classes with data objects
Controlling data type and variable names
Data dictionaries




Customizing Generated Code Architecture



Objective: Control the architecture of the generated code according to application requirements.

Simulink model architecture
Controlling code partitioning
Generating reusable subsystem code
Generating variant components
Code placement options




Model Referencing and Bus Objects



Objective: Control the data type and storage class of bus objects and use them for generating code from models that reference other models.

Creating reusable model references
Controlling data type of bus signals
Controlling storage class of bus signals
Model Reference software testing




Scheduling Generated Code Execution



Objective: Generate code for multirate systems in single-tasking, multitasking, and function call-driven configurations.

Execution schemes for single-rate and multirate systems
Generated code for single-rate models
Multirate single-tasking code
Multirate multitasking code
Generating exported functions




Improving Code Efficiency and Compliance



Objective: Inspect the efficiency of generated code and verify compliance with standards and guidelines.

Model Advisor
Hardware implementation parameters
Compliance with standards and guidelines



"
45,Polyspace for C/C++ Code Verification,"Level: 
Intermediate",['Strong knowledge of C or C++'],"Duration: 
2 days","Languages: 
English, 日本語, 한국어, 中文","
This two-day course discusses the use of Polyspace® Code Prover™ to prove code correctness, improve software quality metrics, and ensure product integrity. This hands-on course is intended for engineers who develop software or models targeting embedded systems. Note that day 3 is optional and is only available for private trainings
Topics include:

Creating a verification project
Reviewing and understanding verification results
Emulating target execution environments
Handling missing functions and data
Managing unproven code (color-coded in orange by Polyspace products)
Applying MISRA-C® rules
Reporting analysis results




","
Day 1 of 2






Polyspace Workflow Overview



Objective: Become familiar with Polyspace Bug Finder and Polyspace Code Prover and work through an introductory example.

Software development workflows with Polyspace
Simple verification example
Analyzing defects and run-time errors




Polyspace Bug Finder Analysis



Objective: Analyze code that may not be ANSI C compliant and account for the run-time environment, and correct defects and coding rule violations using Polyspace Bug Finder.

Common run-time environment artifacts
Handling processor-specific code
Defining the execution context
Setting target hardware information
Analyzing and managing Polyspace Bug Finder defects
Detecting coding rule violations
Measuring code metrics




Analyzing Polyspace Code Prover Results



Objective: Become proficient at interpreting Polyspace Code Prover results.

Overview of abstract interpretation
Call tree analysis
Source code navigation
Execution paths
Variable ranges
Global variables




Code Verification Checks



Objective: Find run-time errors using diagnostics available in Polyspace Code Prover.

Overview of C source code checks
Location of checks in source code
Description of checks
Relevant verification options




Day 2 of 2






Managing Polyspace Code Prover Verifications and Results



Objective: Learn how Polyspace Code Prover treats missing code during verification, and how to affect this behavior to produce more meaningful verifications.

Robustness verification and contextual verification
Function stubbing
Data range specification
Manual stubbing




Adding Precision to Polyspace Code Prover Verifications



Objective: Handle verification results that contain large amounts of unproven checks.

Determining verification effort
Performing a quick review
Performing a selective orange review
Setting verification precision
Prioritizing orange checks
Reviewing orange checks




Integration Analysis



Objective: Learn how to manage verifications with increasing code complexity, and how to interpret and compare integrated analysis with robust analysis.

Managing code modules
Analyzing integration defects and rule violations with Polyspace Bug Finder and Polyspace Code Prover
Importing comments




Application Analysis



Objective: Review procedures and options that are useful when verifying complete applications.

Setting up an application verification
Improving the results of an application verification
Detecting concurrency issues
Comparing robustness and contextual verification
Creating documentation




Day 3 (optional, available with private training only)






Hands-On Instruction (Optional)



Objective: Spend time reviewing what you have learned and applying Polyspace directly to your own project. Potential topics include:

Polyspace Bug Finder checks
C++ code verification
Tasking and shared data analysis
Generated code verification
Development process review
Workflow integration
Client/server software installation
Polyspace configuration for project code
Results interpretation



"
46,Programming Xilinx Zynq SoCs with MATLAB and Simulink,"Level: 
Intermediate","['Simulink Fundamentals (or Simulink Fundamentals for Automotive Applications or Simulink Fundamentals for Aerospace Applications)', 'Knowledge of C and HDL programming languages']","Duration: 
4 half-days","Languages: 
English, 한국어","
This hands-on, four-half day course focuses on developing and configuring models in Simulink® and deploying on Xilinx® Zynq®-7000 All Programmable SoCs. The course is designed for Simulink users who intend to generate, validate, and deploy embedded code and HDL code for software/hardware codesign using Embedded Coder® and HDL Coder™. 
Topics include:

Zynq platform overview and environment setup
Introduction to Embedded Coder and HDL Coder
IP core generation and deployment
Using AXI4 interface
Processor-in-the-loop verification
Data interface with real-time application
Integrating device drivers
Custom reference design




","
Day 1 of 4






Zynq Platform Overview and Environment Setup



Objective: Configure Zynq-7000 platform and MATLAB environment.

Zynq-7000 overview
Setting up Zynq platform and software
Configuring MATLAB environment
Testing connectivity to Zynq hardware




Introduction to Embedded Coder and HDL Coder



Objective: Configure Simulink models for embedded code generation and effectively interpret the generated code.

Architecture of an embedded application
Generating ERT code
Code modules
Data structures in generated code
Configuring a Simulink model for HDL code generation
Using HDL Workflow Advisor




IP Core Generation and Deployment



Objective: Use HDL Workflow Advisor to configure a Simulink model, generate and build both HDL and C code, and deploy to Zynq platform.

Configuring a subsystem for programmable logic
Configuring the target interface and peripherals
Generating the IP core and integrating with SDK
Building and deploying the FPGA bitstream
Generating and deploying a software interface model
Tuning parameters with External Mode




Day 2 of 4






Using AXI4 Interface



Objective: Use various AXI interfaces for data communication between processing system and programmable logic.

AXI interface overview
AXI4-Lite applications
Using AXI4-Stream
AXI4 performance considerations




Processor-in-the-Loop Verification



Objective: Use processor-in-the-loop to verify the algorithm running on Zynq platform and profile the execution times in your production algorithm.

Processor-in-the-loop (PIL) workflow on Zynq
PIL verification with model reference
Code execution profiling with PIL
PIL considerations




Day 3 of 4






Data Interface with Real-Time Application



Objective: Use the UDP interface to stream data between Simulink and the real-time application running on Zynq platform.

Data interface overview
Configuring UDP blocks for data streaming
Synchronizing data between Simulink and Zynq
Data interface with AXI Stream
Design partitioning
Data interface considerations




Integrating Device Drivers



Objective: Develop device driver interfaces for integrating peripherals on processing system.

Workflow for developing device drivers
Using the Legacy Code Tool
GPIO interface
Cross-compiling device drivers




Day 4 of 4






Custom Reference Design



Objective: Create and package reusable IP for Vivado and register custom boards and reference designs.

Motivations for a custom reference design
Creating reusable IP for Vivado
Reference design overview
Customizing a reference design
Registering board and custom reference design



"
47,Communication Systems Modeling with Simulink,"Level: 
Advanced","['MATLAB Fundamentals', 'Signal Processing with MATLAB', 'Signal Processing with Simulink', 'Working experience with MATLAB, Simulink, and DSP System Toolbox']","Duration: 
1 day",,"
Using hands-on examples, this one-day course demonstrates the use of Simulink products to design common communication systems. The emphasis is on designing end-to-end communication systems using Simulink®, Communications Toolbox™, and DSP System Toolbox™.
Topics include:

Modeling using Communications Toolbox
Analyzing the bit error rate (BER) of a communication system
Adding channel impairments
Designing receiver algorithms




","
Day 1 of 1






Amplitude Modulation Using Simulink



Objective: Build an AM system to review basic concepts in Simulink.

Building a simple AM model in Simulink
Creating a subsystem
Visualizing a signal in the time and frequency domains
Working with MATLAB data
Simulating the model from the command line




Modeling Using Communications Toolbox



Objective: Build an end-to-end QPSK model using Communications Toolbox and become familiar with the different visualization tools within the toolbox.

Exploring Communications Toolbox
Creating a QPSK transmitter model
Generating a random source
Using frame-based processing
Visualizing with scatter plots and eye diagrams
Creating a QPSK receiver model
Calculating error rate statistics




Communication Systems Analysis



Objective: Analyze the BER performance of an end-to-end communication system by writing a MATLAB script and using BERTool.

Computing the BER curve
Automating performance analysis: scripts
Adding channel coding
Using BERTool for performance analysis




Channel Impairments and Receiver Algorithms



Objective: Add channel impairments and recovery blocks to test receiver performance.

Adding phase and frequency offset
Correcting phase and frequency using DQPSK
Adding timing offset
Correcting for timing offset
Modeling multi-path channel impairments
Using MATLAB code in the model for equalization



"
48,Designing LTE and LTE Advanced Physical Layer Systems with MATLAB,"Level: 
Advanced",['MATLAB Fundamentals and knowledge of wireless communications systems'],"Duration: 
3 days","Languages: 
English","
This three-day course provides an overview of the LTE and LTE-Advanced physical layer. Using MATLAB®, and LTE Toolbox™, attendees will learn how to generate reference LTE waveforms and build and simulate an end-to-end LTE PHY model.
Topics include:

Review of the advanced communications techniques forming the core of an LTE system: OFDMA and SC-FDMA multi-carrier techniques, and MIMO multi-antenna systems
Descriptions of all of the signals and elements of the processing chain for the uplink and downlink LTE physical channels
Methods for golden reference verification with the standard




","
Day 1 of 3






Introduction to 3GPP Long Term Evolution



Objective: Provide an introduction to the LTE standard and its relationship to other 3GPP standards. Understand general requirements and objectives for LTE. Get an overview of different protocol layers within LTE.

3GPP evolution from R5 to R11
Requirements
Spectrum flexibility
General characteristics
Multi-user scheduling
Resource allocation
Frequency reuse planning




OFDM Theory Review



Objective: Understand the basics of OFDM modulation, cyclic prefix insertion, and windowing.

Motivation for multi-carrier vs single-carrier
Introduction to OFDM
Generation of OFDM symbols using the IFFT
Cyclic prefix (guard interval)
Windowing to reduce out of band emissions
Advantages and disadvantages of OFDM




LTE Frames, Slots and Resources



Objective: Understand the concepts of frames, subframes, slots, and physical resource grids in LTE downlink and uplink.

LTE generic frame structure
Downlink and uplink slot formats
Resource elements and resource blocks
Downlink OFDM symbol construction
Uplink SC-FDMA symbol construction
LTE downlink resource capacity




Day 2 of 3






Procedures



Objective: Understand different physical layer procedures for both downlink and uplink specified in LTE.

Cell search
Cell identities in cell search
Symbol synchronization
Frame and cell synchronization
System information acquisition: MIBs and SIBs
Timing synchronization procedures
Uplink power control




MIMO Background



Objective: Understand different MIMO techniques namely diversity, beamforming, and spatial multiplexing. Learn about singular value decomposition as the solution to the generic MIMO problem.

Spectral efficiency and capacity
Transmit and receive diversity
The Alamouti Scheme
Delay Diversity and Cyclic Delay Diversity
Beamforming
Spatial multiplexing
Singular value decomposition
Equalizing, predistortion, precoding, and combining




LTE Downlink Physical Layer Modulation



Objective: Understand processing elements for different downlink physical channels and downlink physical signals. Learn about resource grid and control channel element.

Downlink physical channel processing chain
Codewords and layers
Scrambling and modulation
Transmission schemes
Diversity, spatial multiplexing, and beamforming
Synchronization signals: PSS and SSS
Reference signals: cell and UE specific, MBSFN
Downlink physical channels: PBCH, PCFICH, PDSCH, and PDCCH
Control region
REGs and CCEs, PDCCH search spaces
Resource grid mapping




MIMO in LTE R8



Objective: Learn different MIMO techniques specified in the LTE standard.

Codewords to layers mapping
Precoding for spatial multiplexing
Precoding for transmit diversity
Beamforming in LTE
Cyclic Delay Diversity-based precoding
Precoding codebooks




Day 3 of 3






LTE Multiplexing and Channel Coding



Objective: Understand the coding, multiplexing, and mapping to physical channels for all transport channels in downlink and uplink.

Transport channels and control information: DL-SCH, PCH, BCH, DCI, CFI, HI, UL-SCH, and UCI
Mapping of transport channels to physical channels
CRC coding and masking
Code block segmentation
Convolutional and turbo coding
Rate matching, bit selection and pruning
Transport channels and control information processing chains
HARQ: incremental redundancy, stop-and-wait




LTE Uplink Physical Layer Modulation



Objective: Understand processing elements for different uplink physical channels and uplink physical signals.

Uplink physical channel processing chain
Scrambling and modulation
SC-FDMA review
Uplink Reference signals: DRS and SRS
Uplink physical channels: PUSCH, PUCCH, and PRACH
Control information: CQI, RI, PMI, HI, and SR
Control signaling on PUSCH and PUCCH
PUCCH formats
Uplink physical channels and physical signals




LTE Release 9



Objective: Learn about new features introduced in LTE Release 9.

Release 9 features
MBMS support
Home eNodeB
Positioning support
Transmission schemes




LTE Advanced – Release 10



Objective: Learn about new features introduced in LTE Release 10.

IMT-Advanced Technologies
Carrier aggregation
Uplink spatial multiplexing
Spatial Orthogonal Resource Transmit Diversity
Downlink enhanced MIMO
CSI reference signals



"
49,DSP for FPGAs,"Level: 
Advanced","['MATLAB Fundamentals', 'Simulink Fundamentals']","Duration: 
3 days","Languages: 
English","
This three-day course will review DSP fundamentals from the perspective of implementation within the FPGA fabric. Particular emphasis will be given to highlighting the cost, with respect to both resources and performance, associated with the implementation of various DSP techniques and algorithms.
Topics include:

Introduction to FPGA hardware and technology for DSP applications
DSP fixed-point arithmetic
Signal flow graph techniques
HDL code generation for FPGAs
Fast Fourier Transform (FFT) Implementation
Design and implementation of FIR, IIR and CIC filters
CORDIC algorithm
Design and implementation of adaptive algorithms such as LMS and QR algorithm
Techniques for synchronisation and digital communications timing recovery




","
Day 1 of 3






Introduction to DSP FPGA Hardware



Objective: Provide introduction to DSP and FPGA. Understand general FPGA architecture and why FPGAs are uniquely suited to the implementation of DSP algorithms.

From discrete logic to FPGAs -some history!
The generic DSP system
DSP cores and processors review
Custom and semi-custom ASICs
System-on-chip (SOC)
FPGA flexibility and functionality
FPGAs vs Programmable DSPs




Linear Systems DSP Algorithm Review



Objective: Review fundamental concepts of sampling theorem, quantization, Fourier analysis and digital filter design.

Aliasing and reconstruction filters
Sampling rates and wordlengths
Z-domain notation and fundamental analysis
FIR and IIR filters
Digital filter design and specification
Oversampling techniques (sigma delta)




FPGA Technology



Objective: Explore different Xilinx FPGA families and architectures. Provide introduction to Spartan 3 and Virtex-5 FPGAs.

The FPGA technology roadmap
Clocking rates, data rates and sample rates
FPGA memory and registers
Input/output blocks and requirements
Bits, Slices and Configurable Logic Blocks
Comparable MIPs Performance Ratings
FPGA Families and Sources




FPGA elements for DSP algorithms



Objective: Understand DSP slices, clocking resources and power consumption.

Building delay lines and Shift Registers
Use of RAM (memory) on FPGAs
Serial to Parallel and Parallel to serial
Multiplexors for channel selection
Full adders, carry logic, and adder trees
Multipliers: Shift and Add; ROM based
Efficient multiplier implementation




DSP Arithmetic Essentials



Objective: Understand fixed point binary arithmetic. Map arithmetic operations to Xilinx FPGA hardware.

2's complement fixed point arithmetic
Fundamental adders and multiplier arrays
Division and square root arrays….not so easy!
Wordlength issues and Fixed point arithmetic
Saturate and wraparound
Overflow and underflow




Signal Flow Graph (SFG) Techniques



Objective: Review the representation of DSP algorithms using signal flow graph. Use the Cut Set method to improve timing performance. Implement parallel and serial FIR filters.

DSP/Digital Filter Signal Flow Graphs
Latency, delays and ""anti-delays""!
Re-timing: Cut-set and delay scaling
The transpose FIR
Pipelining and multichannel architectures
SFG topologies for FPGAs




Day 2 of 3






Frequency Domain Processing



Objective: Discuss the theory and FPGA implementation of the Fast Fourier Transform.

DFT, FFT and IFFT
FFT FPGA architectures
FFT wordlength growth and accuracy




Multirate Signal Processing for FPGAs



Objective: Develop polyphase structure for efficient implementation of multirate filters. Use CIC filter for interpolation and decimation.

Upsampling and interpolation filters
Downsampling and decimation filters
Efficient arithmetic for FIR implementation
Integrators and differentiators
Half-band, moving average and comb filters
Cascade Integrator Comb (CIC) Filters (Hogenauer)
Efficient arithmetic for IIR Filtering




CORDIC Techniques



Objective: Introduce CORDIC algorithm for calculation of various trigonometric functions.

CORDIC rotation mode and vector mode
Compute cosine and sine function
Compute vector magnitude and angle
Architecture for FPGA implementation




Day 3 of 3






Adaptive DSP Algorithms and Applications



Objective: Introduce LMS algorithm in adaptive signal processing. Illustrate QR algorithm as a Recursive Least Squares (RLS) technique and why it is particularly suited to FPGA implementation.

Adaptive applications (equalisation, beamforming)
LMS Algorithms and parallel implementation
Non-canonical LMS algorithms
Linear algebra; solving linear systems of equations
The QR algorithm for adaptive signal processing
QR processing requirements and numerical issues




DSP Enabled Communications and FPGAs



Objective: Review quadrature modulation and pulse-shaping. Discuss implementation of numerically controlled oscillators.

Quaternary Phase Shift Keying (QPSK)
Transmit/Receive Filters - Root Raised Cosine
Undersampling and Digital Downconversion
Direct digital upconversion
Digital IF stages (and fs/4 Systems)
Numerically controlled oscillators (NCO)
Design partitioning for FPGAs




Timing and Synchronisation Issues



Objective: Cover symbol timing recovery, carrier phase recovery, carrier frequency recovery and frame synchronization.

Carrier recovery, squaring and Costas loops, PLLs
Phase rotations; Sampling rate conversions
Symbol timing recovery, early/late gate detection
Delay locked loop timing and synchronisation



"
