,title,time_in_hours,no_of_videos,Exercises,no_of_Learners,XP,course-description,what-you-will-learn-lesson-1,what-you-will-learn-lesson-2,what-you-will-learn-lesson-3,what-you-will-learn-lesson-4,collaborators,prerequisities,what-you-will-learn-lesson-5,what-you-will-learn-lesson-6
357,Data Visualization in Power BI,3,9,27,"8,365",2250,"Power BI has extraordinary visuals that can be used in reports and dashboards. In this Power BI course, you’ll learn to create insightful visualizations through built-in and customized charts and conditional formatting. You’ll discover how to create a plethora of visualizations such as scatter plots, tornado charts, gauges, and how to visualize everything without overwhelming your audience.","Know your audience,Dashboard or report?,Tables and scatter charts,Add a table and slicer,Create a scatter plot,Create a bubble chart","Reduce cognitive load,Reducing cognitive load,Combination charts and custom visuals,Line and area charts,Combo charts,Tornado charts","Getting an emotional response,Factors for evoking emotion,Bar charts and small multiples,Create a bar chart,Format a visual,Stacking errors by position,Using small multiples","Less is more,Why not do this?,Shares, gauges, and KPIs,Shares of the whole,Gauges and cards,Key performance indicators,Conditional formatting,Congratulations!","Maarten Van den Broeck,Carl Rosseel,Danny Tello","Data Analyst,Power BI Fundamentals,Exercises and Datasets,Metadata sheet - Lahman's Baseball Dataset,DataCamp vs. Local Experience,Introduction to Power BI",,
358,ETL in Python,4,16,48,"5,913",3850,"Want to grow your data engineering skills and more efficiently process big data? Well, it’s time to develop your ETL skills. In this course, you’ll learn the foundations of creating pipelines to efficiently extract, transform, and load data into the systems your company commonly uses. You’ll get hands-on experience by helping a fictional private equity firm process the sales data they need to make informed business decisions when buying real estate. Jump in, learn how to create ETL pipelines, and develop one of the most in-demand engineering skills needed in the market.","Introduction to ETL in Python,The ETL process,Downloading a ZIP file,Exploring a ZIP file,Ask the right questions,Reading from a CSV file,Writing to CSV,Extracting,Downloading the new dataset file from web,Project folder structure,Extract 'em all!","Unique key definition and clean table,Date data type definition,Unique key definition,Insert and delete operations,Querying,Insert and delete,Put load operations together,Insert operation,Delete operation,Load 'em all!","Let's talk with the database,SQLAlchemy core components,Engines and sessions,Database tables,Table class definition,Columns definition,Data cleaning,Lower string and date format,Price and description,Put transform operations together,Setup base script,Create tables,Transform 'em all!","Operators,Sales for Dublin and Cork,First month 2021 sales,Sqlalchemy func,Aggregate functions,Average, max and min functions,Create the insights,Creating the insights view,How many counties?,Working with Excel files,Create a simple Excel file,Add a table into Excel file,Export monthly insights,Wrap-up",Hadrien Lacroix,"Property price register 2021,Data Engineering for Everyone,Introduction to Data Engineering,Python Data Science Toolbox (Part 2)",,
359,ETL in Python,4,16,48,"5,913",3850,"Want to grow your data engineering skills and more efficiently process big data? Well, it’s time to develop your ETL skills. In this course, you’ll learn the foundations of creating pipelines to efficiently extract, transform, and load data into the systems your company commonly uses. You’ll get hands-on experience by helping a fictional private equity firm process the sales data they need to make informed business decisions when buying real estate. Jump in, learn how to create ETL pipelines, and develop one of the most in-demand engineering skills needed in the market.","Introduction to ETL in Python,The ETL process,Downloading a ZIP file,Exploring a ZIP file,Ask the right questions,Reading from a CSV file,Writing to CSV,Extracting,Downloading the new dataset file from web,Project folder structure,Extract 'em all!","Unique key definition and clean table,Date data type definition,Unique key definition,Insert and delete operations,Querying,Insert and delete,Put load operations together,Insert operation,Delete operation,Load 'em all!","Let's talk with the database,SQLAlchemy core components,Engines and sessions,Database tables,Table class definition,Columns definition,Data cleaning,Lower string and date format,Price and description,Put transform operations together,Setup base script,Create tables,Transform 'em all!","Operators,Sales for Dublin and Cork,First month 2021 sales,Sqlalchemy func,Aggregate functions,Average, max and min functions,Create the insights,Creating the insights view,How many counties?,Working with Excel files,Create a simple Excel file,Add a table into Excel file,Export monthly insights,Wrap-up",Hadrien Lacroix,"Property price register 2021,Data Engineering for Everyone,Introduction to Data Engineering,Python Data Science Toolbox (Part 2)",,
360,Intermediate SQL Server,4,14,47,"42,255",3850,"A majority of data is stored in databases and knowing the necessary tools needed to analyze and clean data directly in databases is indispensable. This course focuses on T-SQL, the version of SQL used in Microsoft SQL Server, needed for data analysis. You will learn several concepts in this course such as dealing with missing data, working with dates, and calculating summary statistics using advanced queries. After completing this course, you will have the skills needed to analyze data and provide insights quickly and easily.","Data analysis with aggregations,Creating aggregations,Creating grouped aggregations,Dealing with missing data,Removing missing values,Imputing missing values (I),Imputing missing values (II),Binning data with CASE,Using CASE statements,Creating several groups with CASE","WHILE loops,Creating and using variables,Creating a WHILE loop,Derived tables,Queries with derived tables (I),Queries with derived tables (II),Common Table Expressions,CTE syntax,Creating CTEs (I),Creating CTEs (II)","Counting and totals,Calculating the total,Counting the number of rows,Dates,Which date function should you use?,Counting the number of days between dates,Adding days to a date,Rounding and truncating,Rounding numbers,Truncating numbers,More math functions,Calculating the absolute value,Calculating squares and square roots","Window functions in T-SQL,Window functions with aggregations (I),Window functions with aggregations (II),Common window functions,Do you know window functions?,First value in a window,Previous and next values,Increasing window complexity,Creating running totals,Assigning row numbers,Using windows for statistical functions,Calculating standard deviation,Calculating mode (I),Calculating mode (II)","Sumedh Panchadhar,Richie Cotton","SQL Server Developer,SQL Server Fundamentals,Incidents,Shipments,Kidney,Orders,Introduction to SQL Server",,
361,Parallel Programming with Dask in Python,4,15,51,,4150,"When working with big data, you’ll face two common obstacles: using too much memory and long runtimes. The Dask library can lower your memory use by loading chunks of data only when needed. It can lower runtimes by using all your available computing cores in parallel. Best of all, it requires very few changes to your existing Python code. In this course, you use Dask to analyze Spotify song data, process images of sign language gestures, calculate trends in weather data, analyze audio recordings, and train machine learning models on big data.","Introduction to Dask,Lazy evaluation,Delaying functions,Task graphs and scheduling methods,What are the different schedulers?,Plotting the task graph,Building delayed pipelines,Analyzing songs on Spotify,How danceable are songs these days?,Most popular songs","Introduction to Dask bags,Creating a Dask bag,Creating a bag from saved text,String operations,Dask bag operations,Loading JSON data,Filtering Dask bags,Chaining operations,Converting unstructured data to a DataFrame,Restructuring a dictionary,Converting to DataFrame,Using any data in Dask bags,Loading wav data,Constructing custom Dask bags,Processing unstructured audio","Dask arrays,Dask array chunksizes,Loading and processing photos,An image processing pipeline,Dask DataFrames,Creating Dask dataframes from CSVs,Read Dask DataFrames from Parquet,Summertime grooves,Multidimensional arrays,Exploring HDF5 files,Dask arrays from HDF5 datasets,Dask arrays from Zarr datasets,Xarray,Exploratory data analysis with xarray,Monthly mean temperatures,Calculating the trend in European temperatures","Using processes and threads,Which scheduler will be used?,Clusters and clients,Training machine learning models on big datasets,Using Dask to train a linear model,Making lazy predictions,Preprocessing big datasets,Lazily transforming training data,Lazy train-test split,Wrap-up","James Chapman,Amy Peterson","Spotify Songs - CSV,Spotify Songs - Parquet,European Rainfall - HDF5,European Rainfall - Zarr,Tripadvisor Hotel Reviews,Politicians,Data Manipulation with pandas,Python Data Science Toolbox (Part 2)",,
362,Parallel Programming with Dask in Python,4,15,51,,4150,"When working with big data, you’ll face two common obstacles: using too much memory and long runtimes. The Dask library can lower your memory use by loading chunks of data only when needed. It can lower runtimes by using all your available computing cores in parallel. Best of all, it requires very few changes to your existing Python code. In this course, you use Dask to analyze Spotify song data, process images of sign language gestures, calculate trends in weather data, analyze audio recordings, and train machine learning models on big data.","Introduction to Dask,Lazy evaluation,Delaying functions,Task graphs and scheduling methods,What are the different schedulers?,Plotting the task graph,Building delayed pipelines,Analyzing songs on Spotify,How danceable are songs these days?,Most popular songs","Introduction to Dask bags,Creating a Dask bag,Creating a bag from saved text,String operations,Dask bag operations,Loading JSON data,Filtering Dask bags,Chaining operations,Converting unstructured data to a DataFrame,Restructuring a dictionary,Converting to DataFrame,Using any data in Dask bags,Loading wav data,Constructing custom Dask bags,Processing unstructured audio","Dask arrays,Dask array chunksizes,Loading and processing photos,An image processing pipeline,Dask DataFrames,Creating Dask dataframes from CSVs,Read Dask DataFrames from Parquet,Summertime grooves,Multidimensional arrays,Exploring HDF5 files,Dask arrays from HDF5 datasets,Dask arrays from Zarr datasets,Xarray,Exploratory data analysis with xarray,Monthly mean temperatures,Calculating the trend in European temperatures","Using processes and threads,Which scheduler will be used?,Clusters and clients,Training machine learning models on big datasets,Using Dask to train a linear model,Making lazy predictions,Preprocessing big datasets,Lazily transforming training data,Lazy train-test split,Wrap-up","James Chapman,Amy Peterson","Spotify Songs - CSV,Spotify Songs - Parquet,European Rainfall - HDF5,European Rainfall - Zarr,Tripadvisor Hotel Reviews,Politicians,Data Manipulation with pandas,Python Data Science Toolbox (Part 2)",,
363,Interactive Data Visualization with Bokeh,4,15,53,,4500,"Bokeh is a powerful Python package for interactive data visualization, enabling you to go beyond static plots and allow stakeholders to modify your visualizations! In this interactive data visualization with Bokeh course, you'll work with a range of datasets, including stock prices, basketball player statistics, and Australian real-estate sales data. Through hands-on exercises, you’ll build and customize a range of plots, including scatter, bar, line, and grouped bar plots. You'll also get to grips with configuration tools to change how viewers interact with your plot, discover Bokeh's custom themes, learn how to generate subplots, and even how to add widgets to your plots!","Introduction to Bokeh,When to use a scatter plot,Blocks vs. rebounds,Kevin Durant's performance across seasons,Shooting ability by position,Configuration tools,The best tools for the job,Setting tools,Adding LassoSelectTool,The HoverTool,Adding a HoverTool,Formatting the HoverTool","Customizing glyph settings,Shooting guards versus small forwards,Big shooters,Evolution of the point guard,Highlighting and contrasting,Highlighting by glyph size,Steals vs. assists,Adding a color bar,Free throw percentage by position,Communicating with text,Sales by time and type of day,Products sold by the time of day,Adding annotations,Box annotations for sales performance,Setting up a polygon annotation,Annotating Netflix stock price growth","Adding style,Colors, legend, and theme,Customizing glyphs,Customizing axes,Average building size,Sales over time,Subplots,Categorical column subplots,Size, location, and price,Using gridplot,Changing size,Visualizing categorical data,High to low prices by region,Creating nested categories,Visualizing sales by period","Introduction to widgets,Adding a Div,Modifying glyph size with a widget,Slider widgets,Automotive stocks analysis,Tech stock performance over time,Select widgets,Travel analysis,Changing line plots with Select,Congratulations!","James Chapman,Amy Peterson","Bakery Sales,Stocks,NBA Player Statistics,Australia Property Market,Data Manipulation with pandas",,
364,Parallel Programming with Dask in Python,4,15,51,,4150,"When working with big data, you’ll face two common obstacles: using too much memory and long runtimes. The Dask library can lower your memory use by loading chunks of data only when needed. It can lower runtimes by using all your available computing cores in parallel. Best of all, it requires very few changes to your existing Python code. In this course, you use Dask to analyze Spotify song data, process images of sign language gestures, calculate trends in weather data, analyze audio recordings, and train machine learning models on big data.","Introduction to Dask,Lazy evaluation,Delaying functions,Task graphs and scheduling methods,What are the different schedulers?,Plotting the task graph,Building delayed pipelines,Analyzing songs on Spotify,How danceable are songs these days?,Most popular songs","Introduction to Dask bags,Creating a Dask bag,Creating a bag from saved text,String operations,Dask bag operations,Loading JSON data,Filtering Dask bags,Chaining operations,Converting unstructured data to a DataFrame,Restructuring a dictionary,Converting to DataFrame,Using any data in Dask bags,Loading wav data,Constructing custom Dask bags,Processing unstructured audio","Dask arrays,Dask array chunksizes,Loading and processing photos,An image processing pipeline,Dask DataFrames,Creating Dask dataframes from CSVs,Read Dask DataFrames from Parquet,Summertime grooves,Multidimensional arrays,Exploring HDF5 files,Dask arrays from HDF5 datasets,Dask arrays from Zarr datasets,Xarray,Exploratory data analysis with xarray,Monthly mean temperatures,Calculating the trend in European temperatures","Using processes and threads,Which scheduler will be used?,Clusters and clients,Training machine learning models on big datasets,Using Dask to train a linear model,Making lazy predictions,Preprocessing big datasets,Lazily transforming training data,Lazy train-test split,Wrap-up","James Chapman,Amy Peterson","Spotify Songs - CSV,Spotify Songs - Parquet,European Rainfall - HDF5,European Rainfall - Zarr,Tripadvisor Hotel Reviews,Politicians,Data Manipulation with pandas,Python Data Science Toolbox (Part 2)",,
365,Interactive Data Visualization with Bokeh,4,15,53,,4500,"Bokeh is a powerful Python package for interactive data visualization, enabling you to go beyond static plots and allow stakeholders to modify your visualizations! In this interactive data visualization with Bokeh course, you'll work with a range of datasets, including stock prices, basketball player statistics, and Australian real-estate sales data. Through hands-on exercises, you’ll build and customize a range of plots, including scatter, bar, line, and grouped bar plots. You'll also get to grips with configuration tools to change how viewers interact with your plot, discover Bokeh's custom themes, learn how to generate subplots, and even how to add widgets to your plots!","Introduction to Bokeh,When to use a scatter plot,Blocks vs. rebounds,Kevin Durant's performance across seasons,Shooting ability by position,Configuration tools,The best tools for the job,Setting tools,Adding LassoSelectTool,The HoverTool,Adding a HoverTool,Formatting the HoverTool","Customizing glyph settings,Shooting guards versus small forwards,Big shooters,Evolution of the point guard,Highlighting and contrasting,Highlighting by glyph size,Steals vs. assists,Adding a color bar,Free throw percentage by position,Communicating with text,Sales by time and type of day,Products sold by the time of day,Adding annotations,Box annotations for sales performance,Setting up a polygon annotation,Annotating Netflix stock price growth","Adding style,Colors, legend, and theme,Customizing glyphs,Customizing axes,Average building size,Sales over time,Subplots,Categorical column subplots,Size, location, and price,Using gridplot,Changing size,Visualizing categorical data,High to low prices by region,Creating nested categories,Visualizing sales by period","Introduction to widgets,Adding a Div,Modifying glyph size with a widget,Slider widgets,Automotive stocks analysis,Tech stock performance over time,Select widgets,Travel analysis,Changing line plots with Select,Congratulations!","James Chapman,Amy Peterson","Bakery Sales,Stocks,NBA Player Statistics,Australia Property Market,Data Manipulation with pandas",,
366,Interactive Data Visualization with rbokeh,4,12,47,"3,525",4000,"Data visualization is an integral part of the data analysis process. This course will get you introduced to rbokeh: a visualization library for interactive web-based plots. You will learn how to use rbokeh layers and options to create effective visualizations that carry your message and emphasize your ideas. We will focus on the two main pieces of data visualization: wrangling data in the appropriate format as well as employing the appropriate visualization tools, charts and options from rbokeh.","Getting started with rbokeh,Hello rbokeh!,Tidyverse Refresher (Filter),Tidyverse Refresher (Mutate),Constructing rbokeh layers (Part 1),Specifying Data in rbokeh Layers (Part 1),Specifying Data in rbokeh Layers (Part 2),Specifying Data in rbokeh Layers 3,Constructing rbokeh layers (Part 2),One-Layer Plot (Scatter Plot),Multi-Layer Plot 1 (Scatter + Line Plot),Multi-Layer Plot 2 (Scatter + Line Plot)","Data formats,Wide and Long Data 1,Wide and long Data 2,Wide and Long Data 3,More rbokeh layers,Scatter Plot + Regression Line (Reshaping Data),Scatter Plot + Regression Line (Scatter Plot),Scatter Plot + Regression Line (Regression Line),Interaction tools,Toolbar Location,Interaction Tools (Hide/View)","Plot and mapped attributes (Part 1),Line and Fill Color 1,Line and Fill Color 2,Color Palette,Plot and mapped attributes (Part 2),Size & Alpha (Scatter Plot) 1,Size & Alpha (Scatter Plot) 2,Line Width,Hover info and figure options,Hover Info (Part 1),Hover Info (Part 2),Figure Options","rbokeh grid plots,Grid Plots,Grid Plots (Axes),Grid Plot (Layout),Facets with grid plots,Facets 1,Facets 2,Facets 3,rbokeh maps,Initializing Maps,Adding Points Layer to Maps,Multiple Maps in a Grid Plot","David Campos,Shon Inouye","Human Development Index dataset,Corruption Perception Index dataset,Tuberculosis Cases dataset,New York Citi Bike Trips dataset,Introduction to the Tidyverse",,
367,Biomedical Image Analysis in Python,4,15,54,"13,936",4400,"The field of biomedical imaging has exploded in recent years - but for the uninitiated, even loading data can be a challenge! In this introductory course, you'll learn the fundamentals of image analysis using NumPy, SciPy, and Matplotlib. You'll navigate through a whole-body CT scan, segment a cardiac MRI time series, and determine whether Alzheimer’s disease changes brain structure. Even if you have never worked with images before, you will finish the course with a solid toolkit for entering this dynamic field.","Image data,Load images,Metadata,Plot images,N-dimensional images,Stack images,Load volumes,Field of view,Advanced plotting,Generate subplots,Slice 3D images,Plot other views","Objects and labels,Segment the heart,Select objects,Extract objects,Measuring intensity,Measure variance,Separate histograms,Measuring morphology,Calculate volume,Calculate distance,Pinpoint center of mass,Measuring in time,Summarize the time series,Measure ejection fraction","Image intensities,Intensity,Histograms,Masks,Create a mask,Apply a mask,Tune a mask,Filters,Filter convolutions,Filter functions,Smoothing,Feature detection,Detect edges (1),Detect edges (2)","Spatial transformations,Translations,Rotations,Affine transform,Resampling and interpolation,Resampling,Interpolation,Comparing images,Mean absolute error,Intersection of the union,Normalizing measurements,Identifying potential confounds,Testing group differences,Normalizing metrics","Lore Dirick,Becca Robins,Sara Snell","Image Processing,RSNA Hand Radiograph,OASIS Brain Measurements,Sunnybrook Cardiac MRI,TCIA Chest CT (Sample),Intermediate Python",,
368,Dealing With Missing Data in R,4,14,52,"10,948",4350,"Missing data is part of any real world data analysis. It can crop up in unexpected places, making analyses challenging to understand. In this course, you will learn how to use tidyverse tools and the naniar R package to visualize missing values. You'll tidy missing values so they can be used in analysis and explore missing values to find bias in the data. Lastly, you'll reveal other underlying patterns of missingness. You will also learn how to ""fill in the blanks"" of missing values with imputation models, and how to visualize, assess, and make decisions based on these imputed datasets.","Introduction to missing data,Using and finding missing values,How many missing values are there?,Working with missing values,Why care about missing values?,Summarizing missingness,Tabulating Missingness,Other summaries of missingness,How do we visualize missing values?,Your first missing data visualizations,Visualizing missing cases and variables,Visualizing missingness patterns","Tools to explore missing data dependence,Creating shadow matrix data,Performing grouped summaries of missingness,Further exploring more combinations of missingness,Visualizing missingness across one variable,Nabular data and filling by missingness,Nabular data and summarising by missingness,Explore variation by missingness: box plots,Visualizing missingness across two variables,Exploring missing data with scatter plots,Using facets to explore missingness,Faceting to explore missingness (multiple plots)","Searching for and replacing missing values,Using miss_scan_count,Using replace_with_na,Using replace_with_na scoped variants,Filling down missing values,Fix implicit missings using complete(),Fix explicit missings using fill(),Using complete() and fill() together,Missing Data dependence,Differences between MCAR and MAR,Exploring missingness dependence,Further exploring missingness dependence","Filling in the blanks,Impute data below range with nabular data,Visualize imputed values in a scatter plot,Create histogram of imputed data,What makes a good imputation,Evaluating bad imputations,Evaluating imputations: The scale,Evaluating imputations: Across many variables,Performing imputations,Using simputation to impute data,Evaluating and comparing imputations,Evaluating imputations (many models & variables),Evaluating imputations and models,Combining and comparing many imputation models,Evaluating the different parameters in the model,Final Lesson","David Campos,Chester Ismay,Shon Inouye","Intermediate Tidyverse Toolbox,Introduction to R,Introduction to the Tidyverse",,
369,Financial Forecasting in Python,4,12,49,"8,922",4050,"In Financial Forecasting in Python, you will step into the role of CFO and learn how to advise a board of directors on key metrics while building a financial forecast, the basics of income statements and balance sheets, and cleaning messy financial data. During the course, you will examine real-life datasets from Netflix, Tesla, and Ford, using the pandas package. Following the course, you will be able to calculate financial metrics, work with assumptions and variances, and build your own forecast in Python!","Introduction to financial statements,Calculating gross profit,Calculating net profit,Elements within net profit & gross profit,Calculating sales & Cost of Goods Sold (COGS),Calculating sales,Forecasting sales with a discount,Calculating COGS,Calculating the break-even point,Working with raw forecast datasets,Tesla income statement,Forecasting profit for Tesla","Financial periods and how to work with them,Converting quarters into months,Merging months into quarters,The datetime library,Working with the datetime library,Converting date formats - simple,Converting date formats - explicit,Tips and tricks when working with datasets,Working with datasets - month totals,Working with datasets - combining datasets,Working with datasets - exporting data","Introduction to the balance sheet,Calculating accounts receivable (debtors),Bad debts,Calculating accounts payable (creditors),Understanding accounts payable and receivable,Balance sheet efficiency ratios - Part 1,Debtor days ratio,Days payable outstanding,Balance sheet efficiency ratios - Part 2,Days in inventory and asset turnover ratio,Understanding ratios,Calculating balance sheet ratios for Ford,Forecasting the balance sheet for Ford","Building sensitive forecast models,Weighted probability,Market sentiment,Dependencies and sensitivity,Assigning dependencies for sales and COGS,Building a sensitivity analysis for gross profit,Assigning dependencies for expenses,Build a sensitivity analysis for the net profit,Working with variances in the forecast,Building an alternate forecast,Building a gap analysis between forecasts,Setting dependencies for Netflix,Calculating an alternative forecast for Netflix","Becca Robins,Sara Snell","Ford Balance Sheet,Netflix Forecast,Tesla Income Statement,Introduction to Python,Intermediate Python",,
370,Hypothesis Testing in Python,4,15,50,"2,145",3750,"Hypothesis testing lets you answer questions about your datasets in a statistically rigorous way. In this course, you'll grow your Python analytical skills as you learn how and when to use common tests like t-tests, proportion tests, and chi-square tests. Working with real-world data, including Stack Overflow user feedback, you'll gain a deep understanding of how these tests work, and the key assumptions that underpin them. You'll also discover how different tests are related using the “there is only one test"" framework, before learning how to use non-parametric tests to go beyond the limitations of side-step the requirements of hypothesis tests.","To the lab for testing,Uses of A/B testing,Calculating the sample mean,Calculating a z-score,A tail of two z's,Criminal trials and hypothesis tests,Left tail, right tail, two tails,Calculating p-values,Statistically significant other,Decisions from p-values,Calculating a confidence interval,Type I and type II errors","Difference strokes for proportions, folks,t for proportions?,Test for single proportions,A sense of proportion,Test for two proportions,proportions_ztest() for two samples,Declaration of independence,The chi-square distribution,How many tails for chi-square tests?,Chi-square test of independence,Does this dress make my fit look good?,Visualizing goodness of fit,Chi-square test of goodness of fit","Is this some kind of test statistic?,Hypothesis testing workflow,Two sample mean test statistic,Time for t,Why is t needed?,The t-distribution,From t to p,Pairing is caring,Is pairing needed?,Visualizing the difference,Using ttest(),P-hacked to pieces,Visualizing many categories,ANOVA,Pairwise t-tests","What do you assume?,Common assumptions of hypothesis tests,Testing sample size,Assumptions not met,Which parametric test?,Wilcoxon signed-rank test,Look ma! Still no parameters!,Wilcoxon-Mann-Whitney,Kruskal-Wallis,Congratulations!","Dr. Chester Ismay,Amy Peterson,Izzy Weber","Data Analyst,Data Scientist,Statistics Fundamentals,Late Shipments,Stack Overflow,U.S. Democrat Votes 2012/2016,U.S. Republican Votes 2008/2012,Sampling in Python",,
371,Introduction to DAX in Power BI,2,7,20,"6,805",1650,"Start your journey to becoming a DAX master with this introductory course on DAX. You’ll learn fundamental concepts and best practices for implementing DAX in your reports. You’ll learn to write DAX code to generate calculated columns, measures, and tables while learning supporting knowledge around ‘context’ in Power BI. Finally, we’ll round off the course by introducing time-intelligence functions and show you how to use Quick Measures to create complex DAX code. Let’s take the first step in your DAX mastery journey!","Introduction to DAX in Power BI,Calculated columns vs. measures,Creating calculated columns and measures,Profit column,Sales count,Profit margin ratio","The Date Table,Creating a calculated table,Dates and Quick Measures,Expanding the Date table,DATEDIFF,Your first quick measure,Year-over-year change,Congratulations!","Context in DAX Formulas,Context 101,Creating DAX Measures,Using Variables,Iterator Functions,Sales by Category and Year",,"Maarten Van den Broeck,Carl Rosseel","Data Analyst,Power BI Fundamentals,Exercises and Datasets,DataCamp vs. Local Experience,Introduction to Power BI",,
372,Data Connections in Power BI,2,9,24,,1750,"Data connections are an essential part of Power BI. In this course, you will be introduced to the many different options for connecting to data. You’ll learn the differences between Power BI Desktop and Power BI Service when it comes to data connections. You’ll also learn about the different ways that Power BI stores data when connecting to a source, and how you are able to amend connections after they have been made. Finally, you’ll learn how you can use parameters and M Language in Power BI Desktop to level up your handling of data import processes.","Data connections in Power BI,The data flow process,Power BI Desktop connections,Which connection?,Welcome to Power BI Service,Desktop vs. Service,First connections,Desktop or Service data connections?,Add a database connection","Data source settings,Incremental refresh,Parameters and incremental refresh,Parameters: true or false?,Query parameters,Discovering M Language,M Language examined,Using M Language on connections,Congratulations","Database connections,Storage modes,Exploring connections,Power BI languages,Controlling the import process,Changing data source settings",,"Maarten Van den Broeck,Carl Rosseel","Data Analyst,Exercises and Datasets,Introduction to Power BI",,
373,Data Preparation in Power BI,3,9,26,"2,078",2050,"In this interactive Power BI course, you’ll learn how to use Power Query Editor to transform and shape your data to be ready for analysis. You’ll also get to grips with advanced Power BI topics, including how to use M language and the Advanced Editor, to help you be even more efficient in data preparation.","Introduction to Power Query,What is clean data?,Introduction to Power Query demo,Load data and promote headers,Rename and reorder columns,Changing data types","Transforming text in Power Query,Universally-applicable transformations,Text transformation,Trim & clean,Merge & extract length,Split & add prefix","Data preview features in Power Query,Data preview differences,Data preview features,Column distribution and duplicates,Column quality and missing values,Column profile,Profiling to find anomalies","Numerical transformations in Power Query,Numerical vs. Date transformations,Numerical transformations,Absolute value and rounding,Multiplication, addition, and square root,Date transformations,Congratulations!",Carl Rosseel,"Data Analyst,Power BI Fundamentals,Exercises and Datasets,Introduction to Power BI",,
374,Data Transformation in Power BI,3,9,28,,2150,"In this course, you’ll learn all about table transformations in Power BI. You’ll learn how to (un)pivot, transpose, and append tables. You’ll also get introduced to joins and discover when it makes sense to use them. Finally, you’ll gain power with custom columns, including how to use M language and the Advanced Editor, to help you be even more efficient in data preparation.","Reshaping & aggregating  data,Which shape after transformation?,Reshaping & aggregating tables in Power Query,Unpivoting & transposing,Pivoting,Grouping & aggregating","Custom columns in Power Query,Custom conditional columns,Custom columns demo,Stock ranking,Stock values,Grouped stock ranking","Combining data in Power Query,What causes null values?,Merging & appending queries in Power Query,Appending queries,Merging queries: left join,Merging queries: right join,Transforming sales data for analysis","Introduction to Advanced Editor,Using the Advanced Editor,DAX vs M Language,M Language & Advanced Editor demo,Calculate stock deviation,Rename steps & add comments,Variables and custom functions,Calculate Z scores,Congratulations!",Carl Rosseel,"Data Analyst,Exercises and Datasets,Data Preparation in Power BI",,
375,Exploratory Data Analysis in Power BI,3,9,26,,2050,"Enhance your reports with Power BI's Exploratory Data Analysis (EDA). You'll start by using descriptive statistics to spot outliers, identify missing data, and apply imputation techniques to fill gaps in your dataset. You’ll then learn how EDA in Power BI can help you discover the relationships between variables—both categorical and continuous— by using basic statistical measures and box and scatter plots.","What is exploratory data analysis?,Steps to EDA,Initial EDA of AirBnB listings,Identify missing data,Descriptive statistics for a variable,Imputation for missing data","EDA with categorical variables,Histograms vs. box plots,Exploring categorical variables with AirBnB data,Analyzing a categorical variable,Proportions with categorical variables,Analyzing multiple categorical variables,Creating a box plot","Distributions and outliers,Choices for finding outliers,Histograms and outliers in AirBnB listings,Create your first histogram,Identify outliers,Addressing outliers in the data","Relationships between continuous variables,Practice interpreting a scatter plot,Exploring AirBnB listings with scatter plots,Analyzing relationships with scatter plots,Adding context to scatter plots,Correlation coefficient,Congratulations!",Carl Rosseel,"Data Analyst,Exercises and Datasets,DataCamp vs. Local Experience,Introduction to DAX in Power BI",,
376,Trend Analysis in Power BI,3,9,25,,1950,"In this course, you’ll learn how to analyze time series, visualize your data, and spot trends. You’ll build new date variables, discover run charts, and get into calculating rolling averages. Finally, you’ll find out how to identify which variables exhibit the most influence on the target variable using Power BI's decomposition trees and key influencers.","Starting to explore time series data,Statements about time series analysis,Exploring AirBnB time series,Generating a new date variable,Analyzing trends by day of week,Calculating year-over-year change","Introduction to decomposition trees,Statements about decomposition trees,Using decomposition trees in Power BI,Getting started with decomposition trees,Diving deeper into decomposition trees,Decomposing attrition rates","Time series run chart,Cyclical vs. Seasonal,Analyzing Glassdoor reviews over time,Building your first time series chart,Calculating rolling averages,Finding anomalies in time series data","Introduction to key influencers,Decomposition trees vs. key influencers,Using key influencers in Power BI,Key influencers for average listing price,Segments from key influencers,Key influencers for super hosts,Congratulations!",Carl Rosseel,"Data Analyst,Exercises and Datasets,DataCamp vs. Local Experience,Exploratory Data Analysis in Power BI",,
377,User-Oriented Design in Power BI,3,9,26,,2100,"In this course you learn how to design with users in mind. You’ll also learn to use R and Python to create unique visualizations, adding custom chart types that would otherwise not be available in Power BI. You’ll get introduced to some best practices in data visualization and optimize your visualizations to be more accessible to visually impaired individuals. This course also teaches you how to create paginated reports, a prerequisite for the official PL-300 exam!","Tracking focal points,Why focal points,Maps and external scripts,Creating a map,Scripting with Python,Using focal points","Readying for production,Choosing a SKU,Q&A and decomposition trees,Adding a Q&A visual,Adding a decomposition tree,Configuring the report","Designing for accessibility,Reviewing accessibility options,Accessibility in practice,Limiting color use,Enhancing labels,Fonts and contrast,Using smart narratives","Paginated reports,Choosing a report type,Creating paginated reports,Create a paginated report,Make it a matrix,Add a line chart,Congratulations!","Kevin Feasel,Carl Rosseel,Azat Saskal","Data Analyst,Exercises and Datasets,DataCamp vs. Local Experience,Data Visualization in Power BI",,
